stock,Comment,Date ,Closing Price
RELIANCE.NS,Fresh sell,2023-08-21,2520.0
RELIANCE.NS,Fresh sell,2023-08-21,2520.0
ICICIBANK.NS,Fresh sell,2023-08-22,952.0
IOC.NS,Fresh sell,2023-08-22,91.8499984741211
DEEPAKNTR.NS,Fresh sell,2023-08-22,1988.050048828125
APOLLOTYRE.NS,Fresh sell,2023-08-22,393.9500122070313
CHEMBOND.NS,Fresh sell,2023-08-22,388.5499877929688
DEEPAKNTR.NS,Fresh sell,2023-08-22,1988.050048828125
GLOBAL.NS,Fresh sell,2023-08-22,167.89999389648438
GRMOVER.NS,Fresh sell,2023-08-22,173.10000610351562
GMBREW.NS,Fresh sell,2023-08-22,589.5999755859375
GOKUL.NS,Fresh sell,2023-08-22,30.600000381469727
IFBAGRO.NS,Fresh sell,2023-08-22,496.8999938964844
ICICIBANK.NS,Fresh sell,2023-08-22,952.0
IRISDOREME.NS,Fresh sell,2023-08-22,76.75
IOC.NS,Fresh sell,2023-08-22,91.8499984741211
MEP.NS,Fresh sell,2023-08-22,11.149999618530272
MAWANASUG.NS,Fresh sell,2023-08-22,98.1500015258789
RCOM.NS,Fresh sell,2023-08-22,1.25
SARLAPOLY.NS,Fresh sell,2023-08-22,45.09999847412109
TTKPRESTIG.NS,Fresh sell,2023-08-22,764.7999877929688
VMART.NS,Fresh sell,2023-08-22,2159.25
ADANIGREEN.NS,Fresh sell,2023-08-23,971.5
APCL.NS,Fresh sell,2023-08-23,187.25
FCSSOFT.NS,Fresh sell,2023-08-23,2.299999952316284
GOKULAGRO.NS,Fresh sell,2023-08-23,111.6999969482422
HUBTOWN.NS,Fresh sell,2023-08-23,44.400001525878906
KABRAEXTRU.NS,Fresh sell,2023-08-23,436.6499938964844
MANYAVAR.NS,Fresh sell,2023-08-23,1236.8499755859375
MINDTECK.NS,Fresh sell,2023-08-23,130.0
OMAXE.NS,Fresh sell,2023-08-23,46.34999847412109
ORIENTELEC.NS,Fresh sell,2023-08-23,237.6499938964844
NUCLEUS.NS,Fresh sell,2023-08-23,1015.3499755859376
ROSSARI.NS,Fresh sell,2023-08-23,802.2999877929688
SUBROS.NS,Fresh sell,2023-08-23,383.0
AJMERA.NS,Fresh sell,2023-08-24,351.3500061035156
ASHIMASYN.NS,Fresh sell,2023-08-24,13.350000381469728
AUTOAXLES.NS,Fresh sell,2023-08-24,2156.85009765625
CAMPUS.NS,Fresh sell,2023-08-24,294.54998779296875
DEVIT.NS,Fresh sell,2023-08-24,127.9499969482422
INDIGO.NS,Fresh sell,2023-08-24,2482.64990234375
KSCL.NS,Fresh sell,2023-08-24,543.8499755859375
MINDTECK.NS,Fresh sell,2023-08-24,127.4000015258789
NAVKARCORP.NS,Fresh sell,2023-08-24,59.5
PASUPTAC.NS,Fresh sell,2023-08-24,30.25
OSWALSEEDS.NS,Fresh sell,2023-08-24,61.84999847412109
PFIZER.NS,Fresh sell,2023-08-24,3854.89990234375
RAMASTEEL.NS,Fresh sell,2023-08-24,38.54999923706055
SIYSIL.NS,Fresh sell,2023-08-24,534.6500244140625
TCS.NS,Fresh sell,2023-08-24,3387.75
TCNSBRANDS.NS,Fresh sell,2023-08-24,415.4500122070313
VISAKAIND.NS,Fresh sell,2023-08-24,83.05000305175781
AJMERA.NS,Fresh sell,2023-08-24,351.3500061035156
ASHIMASYN.NS,Fresh sell,2023-08-24,13.350000381469728
AUTOAXLES.NS,Fresh sell,2023-08-24,2156.85009765625
CAMPUS.NS,Fresh sell,2023-08-24,294.54998779296875
COALINDIA.NS,Fresh sell,2023-08-24,229.25
DEVIT.NS,Fresh sell,2023-08-24,127.9499969482422
INDIGO.NS,Fresh sell,2023-08-24,2482.64990234375
KSCL.NS,Fresh sell,2023-08-24,543.8499755859375
MINDTECK.NS,Fresh sell,2023-08-24,127.4000015258789
NAVKARCORP.NS,Fresh sell,2023-08-24,59.5
PASUPTAC.NS,Fresh sell,2023-08-24,30.25
OSWALSEEDS.NS,Fresh sell,2023-08-24,61.84999847412109
PFIZER.NS,Fresh sell,2023-08-24,3854.89990234375
